2024-01-03 17:27:38,244 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProducts
2024-01-03 17:28:36,164 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProducts
2024-01-03 17:30:21,729 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProducts
2024-01-03 17:32:05,431 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 659570b852f4d900d2ac7706, Operation: Read, Method: getProducts
2024-01-03 17:32:41,581 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:32:42,168 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:32:42,818 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:33:19,633 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:66] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProductById, Product: Ecouteurs, Price: 19.99
2024-01-03 17:33:31,623 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:66] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProductById, Product: Ecouteurs, Price: 9.99
2024-01-03 17:33:43,970 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:33:45,161 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:33:45,702 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:33:46,279 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:34:34,849 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:34:35,471 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:35:39,949 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:40:41,526 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:41:57,927 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:42:35,882 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:45:43,159 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:47:55,637 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProducts
2024-01-03 17:48:45,346 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:66] UserID: 6595710b52f4d900d2ac7708, Operation: Read, Method: getProductById, Product: Feuilles, Price: 5.0
2024-01-03 17:51:43,881 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:66] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProductById, Product: Feuilles, Price: 5.0
2024-01-03 17:51:49,713 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
